sn,spp,mrca1,mrca2,position,source,,,
132,Aedes_Ochlerotatus_behningi,,,keep,S2017,,,
133,Aedes_Ochlerotatus_berlandi,Opifex_Opifex_fuscus,Aedes_Ochlerotatus_procax,0,genbank,,,
134,Aedes_Ochlerotatus_burpengaryensis,Opifex_Opifex_fuscus,Aedes_Ochlerotatus_procax,0,genbank,,,
135,Aedes_Ochlerotatus_campestris,,,keep,S2017,,,
136,Aedes_Ochlerotatus_camptorhynchus,,,keep,S2017,,,
137,Aedes_Ochlerotatus_cantans,,,keep,S2017,,,
138,Aedes_Ochlerotatus_cantator,,,keep,S2017,,,
139,Aedes_Ochlerotatus_caspius,,,keep,S2017,,,
140,Aedes_Ochlerotatus_cataphylla,,,keep,S2017,,,
141,Aedes_Ochlerotatus_churchillensis,,,keep,S2017,,,
142,Aedes_Ochlerotatus_coluzzii,,,keep,S2017,,,
143,Aedes_Ochlerotatus_communis,,,keep,S2017,,,
144,Aedes_Ochlerotatus_cyprius,,,keep,S2017,,,
145,Aedes_Ochlerotatus_detritus,,,keep,S2017,,,
146,Aedes_Ochlerotatus_dorsalis,,,keep,S2017,,,
147,Aedes_Ochlerotatus_eidsvoldensis,Opifex_Opifex_fuscus,Aedes_Ochlerotatus_procax,0,genbank,,,
148,Aedes_Ochlerotatus_euedes,,,keep,S2017,,,
149,Aedes_Ochlerotatus_euiris,,,keep,S2017,,,
150,Aedes_Ochlerotatus_excrucians,,,keep,S2017,,,
151,Aedes_Ochlerotatus_fitchii,,,keep,S2017,,,
152,Aedes_Ochlerotatus_flavescens,,,keep,S2017,,,
153,Aedes_Ochlerotatus_grossbecki,,,keep,S2017,,,
154,Aedes_Ochlerotatus_hexodontus,,,keep,S2017,,,
155,Aedes_Ochlerotatus_hungaricus,,,keep,S2017,,,
156,Aedes_Ochlerotatus_impiger,,,keep,S2017,,,
157,Aedes_Ochlerotatus_implicatus,,,keep,S2017,,,
158,Aedes_Ochlerotatus_increpitus,,,keep,S2017,,,
159,Aedes_Ochlerotatus_kasachstanicus,,,keep,S2017,,,
160,Aedes_Ochlerotatus_leucomelas,,,keep,S2017,,,
161,Aedes_Ochlerotatus_melanimon,,,keep,S2017,,,
162,Aedes_Ochlerotatus_mercurator,Opifex_Opifex_fuscus,Aedes_Ochlerotatus_procax,0,genbank,,,
163,Aedes_Ochlerotatus_nigrinus,,,keep,S2017,,,
164,Aedes_Ochlerotatus_nigripes,,,keep,S2017,,,
165,Aedes_Ochlerotatus_nigrithorax,Aedes_Ochlerotatus_vittiger,Aedes_Ochlerotatus_sagax,0,S2023,,,
166,Aedes_Ochlerotatus_niphadopsis,,,keep,S2017,,,
167,Aedes_Ochlerotatus_nivalis,Aedes_Ochlerotatus_camptorhynchus,Aedes_Ochlerotatus_hungaricus,0,S2023,,,
168,Aedes_Ochlerotatus_pionips,,,keep,S2017,,,
169,Aedes_Ochlerotatus_procax,,,keep,S2017,,,
170,Aedes_Ochlerotatus_pulcritarsis,,,keep,S2017,,,
171,Aedes_Ochlerotatus_pullatus,,,keep,S2017,,,
172,Aedes_Ochlerotatus_punctodes,Opifex_Opifex_fuscus,Aedes_Ochlerotatus_procax,0,genbank,,,
173,Aedes_Ochlerotatus_punctor,,,keep,S2017,,,
174,Aedes_Ochlerotatus_rempeli,,,keep,S2017,,,
175,Aedes_Ochlerotatus_riparius,,,keep,S2017,,,
176,Aedes_Ochlerotatus_sagax,,,keep,S2017,,,
177,Aedes_Ochlerotatus_sallumae,Opifex_Opifex_fuscus,Aedes_Ochlerotatus_procax,0,genbank,,,
178,Aedes_Ochlerotatus_schizopinax,,,keep,S2017,,,
179,Aedes_Ochlerotatus_silvestris,Aedes_Ochlerotatus_camptorhynchus,Aedes_Ochlerotatus_hungaricus,2,S2023,,,
180,Aedes_Ochlerotatus_spencerii,,,keep,S2017,,,
181,Aedes_Ochlerotatus_squamiger,,,keep,S2017,,,
182,Aedes_Ochlerotatus_sticticus,,,keep,S2017,,,
183,Aedes_Ochlerotatus_stimulans,,,keep,S2017,,,
184,Aedes_Ochlerotatus_subalbirostris,Opifex_Opifex_fuscus,Aedes_Ochlerotatus_procax,0,genbank,,,
